都道府県,名称,総人口,金融保険業人口
1,札幌市 中央区,220189,3742
1,札幌市 北区,278781,2952
1,札幌市 東区,255873,2405
1,札幌市 白石区,204259,1993
1,札幌市 豊平区,212118,2944
1,札幌市 南区,146341,1855
1,札幌市 西区,211229,2320
1,札幌市 厚別区,128492,1807
1,札幌市 手稲区,139644,1322
1,札幌市 清田区,116619,1361
2,仙台市 青葉区,291436,4610
2,仙台市 宮城野区,190473,2152
2,仙台市 若林区,132306,1545
2,仙台市 太白区,220588,3104
2,仙台市 泉区,211183,3294
3,東京都 千代田区,47115,1318
3,東京都 中央区,122762,3896
3,東京都 港区,205131,5149
3,東京都 新宿区,326309,5528
3,東京都 文京区,206626,4642
3,東京都 台東区,175928,2164
3,東京都 墨田区,247606,3722
3,東京都 江東区,460819,10755
3,東京都 品川区,365302,6656
3,東京都 目黒区,268330,4817
3,東京都 大田区,693373,10834
3,東京都 世田谷区,877138,17407
3,東京都 渋谷区,204492,4021
3,東京都 中野区,314750,6118
3,東京都 杉並区,549569,11780
3,東京都 豊島区,284678,4434
3,東京都 北区,335544,4959
3,東京都 荒川区,203296,2982
3,東京都 板橋区,535824,8157
3,東京都 練馬区,716124,13297
3,東京都 足立区,683426,7954
3,東京都 葛飾区,442586,6078
3,東京都 江戸川区,678967,10656
4,名古屋市 千種区,160015,3155
4,名古屋市 東区,73272,1546
4,名古屋市 北区,165785,1879
4,名古屋市 西区,144995,1816
4,名古屋市 中村区,136164,1574
4,名古屋市 中区,78353,1248
4,名古屋市 昭和区,105536,1917
4,名古屋市 瑞穂区,105061,1399
4,名古屋市 熱田区,64719,727
4,名古屋市 中川区,221521,1997
4,名古屋市 港区,149215,947
4,名古屋市 南区,141310,1070
4,名古屋市 守山区,168551,1822
4,名古屋市 緑区,229592,2511
4,名古屋市 名東区,161012,2651
4,名古屋市 天白区,158793,2255
5,京都市 北区,122037,1257
5,京都市 上京区,83264,860
5,京都市 左京区,168802,1712
5,京都市 中京区,105306,1316
5,京都市 東山区,40528,315
5,京都市 下京区,79287,1039
5,京都市 南区,98744,783
5,京都市 右京区,202943,2130
5,京都市 伏見区,284085,2379
5,京都市 山科区,136045,1318
5,京都市 西京区,152974,1996
6,大阪市 都島区,102632,1223
6,大阪市 福島区,67290,940
6,大阪市 此花区,65569,456
6,大阪市 西区,83058,1066
6,大阪市 港区,84947,689
6,大阪市 大正区,69510,471
6,大阪市 天王寺区,69775,898
6,大阪市 浪速区,61745,436
6,大阪市 西淀川区,97504,891
6,大阪市 東淀川区,176585,1650
6,大阪市 東成区,80231,815
6,大阪市 生野区,134009,962
6,大阪市 旭区,92455,918
6,大阪市 城東区,165832,2072
6,大阪市 阿倍野区,106350,1481
6,大阪市 住吉区,155572,1767
6,大阪市 東住吉区,130724,1221
6,大阪市 西成区,121972,533
6,大阪市 淀川区,172078,2297
6,大阪市 鶴見区,111182,1138
6,大阪市 住之江区,127210,1237
6,大阪市 平野区,200005,1417
6,大阪市 北区,110392,1368
6,大阪市 中央区,78687,1140
7,福岡市 東区,292199,3338
7,福岡市 博多区,212527,2617
7,福岡市 中央区,178429,3973
7,福岡市 南区,247096,3705
7,福岡市 西区,193280,3128
7,福岡市 城南区,128659,2036
7,福岡市 早良区,211553,3897
