number,population,under15-man
1,220189,11265
1,278781,17490
1,255873,15903
1,204259,11961
1,212118,11929
1,146341,7878
1,211229,12657
1,128492,7742
1,139644,8930
1,116619,8174
1,279127,15775
1,131928,6611
1,347095,20544
1,94535,5295
1,181169,11045
1,168057,10985
1,125689,7813
1,10922,363
1,90145,5251
1,40998,2656
1,24457,1394
1,173320,11930
1,39595,2407
1,26034,1344
1,16628,724
1,123722,7566
1,12637,539
1,24750,1472
1,21787,1331
1,30591,1897
1,10221,388
1,29201,1838
1,93604,7192
1,43170,2724
1,19056,1098
1,4387,167
1,23709,1159
1,24259,1554
1,51526,3110
1,69384,4909
1,36278,2195
1,60353,4117
1,59449,4091
1,48032,3663
1,18766,1066
1,3515,214
1,8748,393
1,5114,219
1,5074,329
1,5341,232
1,28463,1844
1,4767,267
1,17859,1149
1,18896,1200
1,6386,291
1,9004,536
1,5428,312
1,4409,255
1,4408,231
1,3033,154
1,6186,333
1,9590,532
1,1781,101
1,3443,187
1,3250,204
1,5292,329
1,4823,310
1,2189,117
1,2034,131
1,2490,123
1,3811,229
1,15568,1097
1,6428,416
1,14451,849
1,1883,139
1,1122,54
1,2516,115
1,3611,141
1,3800,220
1,21258,1258
1,1262,79
1,8778,536
1,6194,352
1,4086,171
1,5896,320
1,11691,682
1,13340,734
1,4859,166
1,2206,128
1,7249,415
1,3462,185
1,2730,130
1,3049,181
1,2193,99
1,3612,174
1,7345,603
1,9292,782
1,7087,406
1,4042,191
1,3328,177
1,4532,210
1,7859,524
1,10956,663
1,11545,824
1,5477,404
1,2814,179
1,1394,60
1,3832,208
1,3565,216
1,3775,194
1,5178,281
1,995,17
1,1907,88
1,1710,89
1,5078,266
1,3717,193
1,3656,206
1,7964,426
1,1369,86
1,3084,202
1,3780,241
1,2825,202
1,4168,262
1,1974,106
1,9125,593
1,4378,274
1,3078,165
1,2590,115
1,3037,183
1,2677,184
1,21575,1394
1,5646,320
1,13045,814
1,4551,292
1,5358,319
1,5435,333
1,3428,184
1,5892,326
1,22265,1448
1,10041,643
1,3028,151
1,4301,292
1,1135,57
1,4939,276
1,7933,564
1,4528,222
1,3232,188
1,19376,993
1,4890,274
1,10132,535
1,8726,536
1,9746,546
1,13615,863
1,5596,367
1,5775,385
1,14389,938
1,5114,302
1,5413,389
1,25419,1658
1,45085,3741
1,6416,450
1,5080,307
1,5702,432
1,6653,368
1,9961,604
1,18905,1556
1,4006,249
1,3391,256
1,5977,356
1,7881,525
1,26547,1894
1,7527,394
1,3394,181
1,8275,468
1,7630,444
1,2650,133
1,5460,285
1,20526,1469
1,10630,633
1,6511,423
1,8285,530
1,8278,476
1,2627,204
1,9294,543
1,15855,1284
1,23982,1910
1,5646,406
1,5885,398
2,299520,19139
2,183473,11142
2,237615,16302
2,36132,2413
2,58421,3719
2,66110,4343
2,41258,3303
2,61066,4148
2,37243,2164
2,33764,2057
2,12361,659
2,3217,115
2,3271,180
2,7089,327
2,11449,563
2,9691,456
2,1594,80
2,16021,991
2,10978,513
2,8153,492
2,15227,880
2,14270,905
2,12743,666
2,14314,797
2,16759,981
2,10241,666
2,4881,284
2,19106,1192
2,11095,727
2,24211,1907
2,6340,462
2,7252,418
2,2463,118
2,2422,133
2,11299,671
2,18712,1028
2,6175,350
2,19853,1209
2,14699,955
2,2851,130
3,298348,19852
3,59430,3702
3,40737,2505
3,101438,6584
3,93138,6910
3,36872,2711
3,29331,1760
3,118578,7606
3,23300,1434
3,39574,2273
3,29702,1870
3,28680,1621
3,124746,8210
3,18033,1050
3,7304,335
3,14984,896
3,53857,4113
3,33288,2349
3,27205,2023
3,6602,297
3,16325,1088
3,8345,507
3,9064,506
3,6190,290
3,15276,871
3,18617,1174
3,10804,579
3,3843,229
3,3088,176
3,10209,555
3,4632,283
3,6507,360
3,17913,1169
3,14187,724
4,291436,17378
4,190473,13323
4,132306,8514
4,220588,15619
4,211183,15246
4,160826,10263
4,56490,3267
4,73489,4562
4,37422,2235
4,73134,5652
4,31336,1955
4,63060,4906
4,44187,3496
4,83969,5458
4,74932,4354
4,42903,3215
4,135147,9250
4,12882,759
4,1694,75
4,23530,1724
4,11995,758
4,39341,2573
4,9978,575
4,15501,865
4,34845,2352
4,16704,868
4,15085,827
4,20416,1493
4,33994,2789
4,24894,1900
4,8927,501
4,47042,4618
4,5334,408
4,7431,469
4,25527,1558
4,17494,1045
4,25190,1516
4,10051,542
4,17429,1116
5,323600,20156
5,59084,3400
5,98367,5818
5,78946,4625
5,32294,1422
5,50849,2925
5,34473,2053
5,85229,5039
5,34442,2252
5,88301,4966
5,36387,1778
5,27544,1688
5,29568,1589
5,6054,313
5,2727,102
5,3848,176
5,18876,915
5,8220,410
5,10516,466
5,6623,328
5,5493,303
5,3218,272
5,21674,1234
5,16792,937
5,2872,168
6,254244,17014
6,89401,5971
6,136623,9012
6,111151,7100
6,38850,2780
6,42373,3028
6,33836,1970
6,26811,1650
6,29473,1918
6,62214,4436
6,46414,3379
6,18955,1135
6,33658,2185
6,15139,942
6,12015,762
6,19959,1271
6,6270,347
6,7856,426
6,9227,559
6,8160,493
6,6365,421
6,9847,603
6,6164,357
6,9165,476
6,3762,236
6,4862,293
6,5304,289
6,25025,1746
6,17313,1000
6,8862,562
6,15314,981
6,7943,487
6,7731,526
6,23158,1497
6,15480,826
7,292590,20423
7,126220,8722
7,338712,24870
7,342249,23835
7,64704,4915
7,79267,6101
7,52356,3377
7,37817,2625
7,59871,3987
7,40422,2551
7,70878,4956
7,66027,4178
7,31489,2389
7,12853,790
7,10086,571
7,15569,902
7,8574,639
