	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
a0	0.619828883718613	0.00943251703388022	0.12050610045492	0.395467001331114	0.544119055813716	0.622614961089426	0.696940580877999	0.828769041864162	163.216052436467	1.02048109414818
b0	0.0188728911753117	0.0013475948972163	0.0313106305308662	-0.0460063835630128	-0.000229759933710665	0.0208594866135626	0.0387704623306814	0.077055846194487	539.839814086962	1.00824529756264
a[1]	0.564462140237396	0.00600063603334989	0.116618689476636	0.324420102592169	0.483765711346429	0.56693140976962	0.644086867341622	0.791965801355279	377.695440547227	1.01283936968546
a[2]	0.668420650051611	0.00397050376840734	0.11785764491949	0.447050135752364	0.588543833259002	0.671007169067327	0.741658412355603	0.905220474256077	881.098155512059	1.00499912958986
a[3]	0.828776915620909	0.00109667429832634	0.034447156209432	0.75989751692175	0.80735504002896	0.828483610028735	0.851164958671334	0.89734548346254	986.623414782062	1.00110449794233
a[4]	0.559652136296181	0.00398322381480215	0.127546828000254	0.296916454811562	0.477964815346289	0.563129535881099	0.64190480582451	0.807680992400613	1025.34473404403	1.00925742065381
a[5]	0.501169789255818	0.00438153202444086	0.13142194709263	0.234132676169542	0.413485209607252	0.505060915347523	0.589062720242939	0.757603968216862	899.67119107715	1.00550853772346
a[6]	0.502601033706933	0.00900389294633452	0.147296718014629	0.218178811440378	0.398577272525349	0.499046404867914	0.602406685968562	0.789763071442539	267.6242695985	1.0077870855461
a[7]	0.663908866539962	0.00666501674551311	0.121168510491144	0.427173722219673	0.590556373640989	0.664068141343618	0.743756318796757	0.889534451530055	330.504250072003	1.00845644904923
b[1]	0.0149222191310502	0.00139408056829072	0.040531104432943	-0.0687390928522349	-0.00980044657817654	0.017175959771375	0.0392031255078325	0.0947015769830637	845.281041687678	1.0098893218004
b[2]	0.0152832765048201	0.0012939106525946	0.0426598183563819	-0.0740368117770802	-0.00898449526423839	0.0186461101298361	0.0404862476791492	0.0989679371516081	1086.99970715148	1.00560225317839
b[3]	0.0332439946367127	0.000956625984368058	0.0294758690022415	-0.0262509692429761	0.0137605634287017	0.0345652519066153	0.0514482154564751	0.0931134045805838	949.39926036121	1.0027687655775
b[4]	0.0204648007653175	0.00148421699311082	0.035860680338703	-0.0518254009204656	-0.00169899631159555	0.0217948480873513	0.042657670090037	0.0902646227515005	583.770641478261	1.00961236043436
b[5]	0.0104718956556638	0.00195543333018212	0.0350535769560522	-0.0618055961849632	-0.0116969988361718	0.0120818086850517	0.0348574743589594	0.0753238746944143	321.350259764118	1.00843381973314
b[6]	0.00684536918804713	0.00221338104138749	0.034026168167526	-0.0627211144451682	-0.0158963307931709	0.0079653191913719	0.0320902264397759	0.070733587646182	236.327203969955	1.00867321377894
b[7]	0.0319167565257928	0.00143191840788502	0.045009525088114	-0.0490216102053521	0.00498438534628109	0.0299961442817015	0.0544313804541425	0.132721370946841	988.034971750865	1.00405128068703
s_a	0.196414738119199	0.00521320668212152	0.100274321893665	0.0642417973832038	0.12914835870443	0.176514965975797	0.243621496668996	0.411676760845294	369.972616502547	1.0102572597638
s_b	0.0326473477423196	0.00164961484025252	0.0273717950906694	0.00517809648242898	0.0136624054139978	0.0257602102134466	0.0427699009224099	0.10433220228232	275.322338958485	1.00893256960615
s_Y	0.0861788534530531	0.000155791779749021	0.0066898221536461	0.0742246117630654	0.0816727907659263	0.0858629182144274	0.0901285022053689	0.100720326579526	1843.91147653866	1.00470131193473
lp__	212.570060009224	0.422981821529945	5.41508338343904	200.808759563398	209.215064228116	212.836406373528	216.568166739246	221.52571014923	163.895447586342	1.01605276427461
